model,k,fold,ece,k_label
PlackettLuce,1,0,0.6160106658935547,1
PlackettLuce,1,1,0.5986167192459106,1
PlackettLuce,1,2,0.5893730521202087,1
PlackettLuce,1,3,0.5960323214530945,1
PlackettLuce,1,4,0.4802681505680084,1
PlackettLuce,2,0,0.8822250366210938,2
PlackettLuce,2,1,0.9822332859039307,2
PlackettLuce,2,2,0.9229331016540527,2
PlackettLuce,2,3,0.9095782041549683,2
PlackettLuce,2,4,0.8264589309692383,2
PlackettLuce,3,0,1.2168388366699219,3
PlackettLuce,3,1,1.2441740036010742,3
PlackettLuce,3,2,1.1366469860076904,3
PlackettLuce,3,3,1.2870583534240723,3
PlackettLuce,3,4,1.2696845531463623,3
PlackettLuce,4,0,1.4183802604675293,4
PlackettLuce,4,1,1.5335159301757812,4
PlackettLuce,4,2,1.333191990852356,4
PlackettLuce,4,3,1.5487087965011597,4
PlackettLuce,4,4,1.5424994230270386,4
PlackettLuce,5,0,1.433234453201294,5
PlackettLuce,5,1,1.545185923576355,5
PlackettLuce,5,2,1.335921287536621,5
PlackettLuce,5,3,1.565381407737732,5
PlackettLuce,5,4,1.5525057315826416,5
MallowsModel,1,0,0.6236075162887573,1
MallowsModel,1,1,0.5273892879486084,1
MallowsModel,1,2,0.5002871155738831,1
MallowsModel,1,3,0.5297477841377258,1
MallowsModel,1,4,0.8315784931182861,1
MallowsModel,2,0,0.9300505518913269,2
MallowsModel,2,1,0.9845046997070312,2
MallowsModel,2,2,0.7917475700378418,2
MallowsModel,2,3,0.9155713319778442,2
MallowsModel,2,4,1.0861446857452393,2
MallowsModel,3,0,1.4255075454711914,3
MallowsModel,3,1,1.4034467935562134,3
MallowsModel,3,2,1.308411717414856,3
MallowsModel,3,3,1.3411885499954224,3
MallowsModel,3,4,1.5949763059616089,3
MallowsModel,4,0,1.7006155252456665,4
MallowsModel,4,1,1.7510868310928345,4
MallowsModel,4,2,1.7167068719863892,4
MallowsModel,4,3,1.76230788230896,4
MallowsModel,4,4,1.8160802125930786,4
MallowsModel,5,0,1.794241189956665,5
MallowsModel,5,1,1.8258568048477173,5
MallowsModel,5,2,1.8036013841629028,5
MallowsModel,5,3,1.8379080295562744,5
MallowsModel,5,4,1.881231427192688,5
PreferenceModel,1,0,0.4096352756023407,1
PreferenceModel,1,1,0.4744050204753876,1
PreferenceModel,1,2,0.3898465931415558,1
PreferenceModel,1,3,0.39184731245040894,1
PreferenceModel,1,4,0.3439179062843323,1
PreferenceModel,2,0,0.7741847038269043,2
PreferenceModel,2,1,0.9344120025634766,2
PreferenceModel,2,2,0.7915661334991455,2
PreferenceModel,2,3,0.8503283858299255,2
PreferenceModel,2,4,0.6402412056922913,2
PreferenceModel,3,0,1.190437912940979,3
PreferenceModel,3,1,1.2893900871276855,3
PreferenceModel,3,2,1.1094797849655151,3
PreferenceModel,3,3,1.3306515216827393,3
PreferenceModel,3,4,1.3544062376022339,3
PreferenceModel,4,0,1.5353035926818848,4
PreferenceModel,4,1,1.5555696487426758,4
PreferenceModel,4,2,1.425658106803894,4
PreferenceModel,4,3,1.5736528635025024,4
PreferenceModel,4,4,1.6848231554031372,4
PreferenceModel,5,0,1.5693343877792358,5
PreferenceModel,5,1,1.5939079523086548,5
PreferenceModel,5,2,1.4514107704162598,5
PreferenceModel,5,3,1.6082772016525269,5
PreferenceModel,5,4,1.7324706315994263,5
PlackettLuceRPC,1,0,0.8356051445007324,1
PlackettLuceRPC,1,1,0.8551494479179382,1
PlackettLuceRPC,1,2,0.7748762369155884,1
PlackettLuceRPC,1,3,1.0125112533569336,1
PlackettLuceRPC,1,4,0.882844865322113,1
PlackettLuceRPC,2,0,1.351250171661377,2
PlackettLuceRPC,2,1,1.402754306793213,2
PlackettLuceRPC,2,2,1.3405629396438599,2
PlackettLuceRPC,2,3,1.48556649684906,2
PlackettLuceRPC,2,4,1.3496716022491455,2
PlackettLuceRPC,3,0,1.550390362739563,3
PlackettLuceRPC,3,1,1.6316834688186646,3
PlackettLuceRPC,3,2,1.5346461534500122,3
PlackettLuceRPC,3,3,1.7240757942199707,3
PlackettLuceRPC,3,4,1.7203389406204224,3
PlackettLuceRPC,4,0,1.8055931329727173,4
PlackettLuceRPC,4,1,1.8803492784500122,4
PlackettLuceRPC,4,2,1.6950379610061646,4
PlackettLuceRPC,4,3,1.8189753293991089,4
PlackettLuceRPC,4,4,1.8559918403625488,4
PlackettLuceRPC,5,0,1.8089935779571533,5
PlackettLuceRPC,5,1,1.883789300918579,5
PlackettLuceRPC,5,2,1.6951546669006348,5
PlackettLuceRPC,5,3,1.8233108520507812,5
PlackettLuceRPC,5,4,1.8637170791625977,5
RPC,1,0,14.058823585510254,1
RPC,1,1,14.0,1
RPC,1,2,14.004919052124023,1
RPC,1,3,14.007672309875488,1
RPC,1,4,14.050832748413086,1
RPC,2,0,15.248039245605469,2
RPC,2,1,15.230391502380371,2
RPC,2,2,14.821847915649414,2
RPC,2,3,14.846077919006348,2
RPC,2,4,14.657843589782715,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
RPC,4,3,-1.0,4
RPC,4,4,-1.0,4
RPC,5,0,-1.0,5
RPC,5,1,-1.0,5
RPC,5,2,-1.0,5
RPC,5,3,-1.0,5
RPC,5,4,-1.0,5
