model,k,fold,ece,k_label
PlackettLuce,2,0,0.5396382212638855,2
PlackettLuce,2,1,0.5534155368804932,2
PlackettLuce,2,2,0.6079363822937012,2
PlackettLuce,2,3,0.5249914526939392,2
PlackettLuce,2,4,0.5583670139312744,2
PlackettLuce,3,0,0.5597614049911499,3
PlackettLuce,3,1,0.5732333064079285,3
PlackettLuce,3,2,0.6266664266586304,3
PlackettLuce,3,3,0.5446539521217346,3
PlackettLuce,3,4,0.5767849087715149,3
PlackettLuce,4,0,0.5878779292106628,4
PlackettLuce,4,1,0.6011308431625366,4
PlackettLuce,4,2,0.6525787115097046,4
PlackettLuce,4,3,0.5720029473304749,4
PlackettLuce,4,4,0.6002864241600037,4
PlackettLuce,5,0,0.6246511936187744,5
PlackettLuce,5,1,0.6362610459327698,5
PlackettLuce,5,2,0.6842499375343323,5
PlackettLuce,5,3,0.6066651940345764,5
PlackettLuce,5,4,0.6287928819656372,5
PlackettLuce,6,0,0.6727164387702942,6
PlackettLuce,6,1,0.6807535886764526,6
PlackettLuce,6,2,0.7237392067909241,6
PlackettLuce,6,3,0.6508364677429199,6
PlackettLuce,6,4,0.6650474071502686,6
PlackettLuce,7,0,0.7318921685218811,7
PlackettLuce,7,1,0.7340495586395264,7
PlackettLuce,7,2,0.7699490785598755,7
PlackettLuce,7,3,0.7044926285743713,7
PlackettLuce,7,4,0.7090428471565247,7
PlackettLuce,8,0,0.7978338599205017,8
PlackettLuce,8,1,0.7922529578208923,8
PlackettLuce,8,2,0.8192415833473206,8
PlackettLuce,8,3,0.7649726271629333,8
PlackettLuce,8,4,0.7575966715812683,8
PlackettLuce,9,0,0.8639154434204102,9
PlackettLuce,9,1,0.8500836491584778,9
PlackettLuce,9,2,0.866631031036377,9
PlackettLuce,9,3,0.8273999094963074,9
PlackettLuce,9,4,0.8066927790641785,9
PlackettLuce,10,0,0.9243224263191223,10
PlackettLuce,10,1,0.9043672680854797,10
PlackettLuce,10,2,0.9074467420578003,10
PlackettLuce,10,3,0.8845648765563965,10
PlackettLuce,10,4,0.8521889448165894,10
PreferenceModel,2,0,0.4514029324054718,2
PreferenceModel,2,1,0.46850523352622986,2
PreferenceModel,2,2,0.4548106789588928,2
PreferenceModel,2,3,0.4551614224910736,2
PreferenceModel,2,4,0.46946969628334045,2
PreferenceModel,3,0,0.5017228126525879,3
PreferenceModel,3,1,0.514866054058075,3
PreferenceModel,3,2,0.4985509216785431,3
PreferenceModel,3,3,0.49659857153892517,3
PreferenceModel,3,4,0.5084405541419983,3
PreferenceModel,4,0,0.5514355301856995,4
PreferenceModel,4,1,0.5611511468887329,4
PreferenceModel,4,2,0.535298228263855,4
PreferenceModel,4,3,0.5402456521987915,4
PreferenceModel,4,4,0.5465115904808044,4
PreferenceModel,5,0,0.604430615901947,5
PreferenceModel,5,1,0.6100926399230957,5
PreferenceModel,5,2,0.574445903301239,5
PreferenceModel,5,3,0.5870628356933594,5
PreferenceModel,5,4,0.5867853164672852,5
PreferenceModel,6,0,0.6653954386711121,6
PreferenceModel,6,1,0.6633228063583374,6
PreferenceModel,6,2,0.6213139295578003,6
PreferenceModel,6,3,0.6390652656555176,6
PreferenceModel,6,4,0.6320622563362122,6
PreferenceModel,7,0,0.7344928979873657,7
PreferenceModel,7,1,0.7205636501312256,7
PreferenceModel,7,2,0.6746285557746887,7
PreferenceModel,7,3,0.6958572864532471,7
PreferenceModel,7,4,0.6820127964019775,7
PreferenceModel,8,0,0.8082097172737122,8
PreferenceModel,8,1,0.7796159386634827,8
PreferenceModel,8,2,0.7302742600440979,8
PreferenceModel,8,3,0.7555144429206848,8
PreferenceModel,8,4,0.7335523962974548,8
PreferenceModel,9,0,0.8836468458175659,9
PreferenceModel,9,1,0.8378692865371704,9
PreferenceModel,9,2,0.7850061058998108,9
PreferenceModel,9,3,0.817937970161438,9
PreferenceModel,9,4,0.7837517857551575,9
PreferenceModel,10,0,0.9597370624542236,10
PreferenceModel,10,1,0.8949424028396606,10
PreferenceModel,10,2,0.8367102146148682,10
PreferenceModel,10,3,0.8844117522239685,10
PreferenceModel,10,4,0.8312972187995911,10
PlackettLuceRPC,2,0,0.8798226118087769,2
PlackettLuceRPC,2,1,0.8728005290031433,2
PlackettLuceRPC,2,2,0.8796514868736267,2
PlackettLuceRPC,2,3,0.8657165765762329,2
PlackettLuceRPC,2,4,0.876919150352478,2
PlackettLuceRPC,3,0,0.8800336122512817,3
PlackettLuceRPC,3,1,0.8728703856468201,3
PlackettLuceRPC,3,2,0.8797557950019836,3
PlackettLuceRPC,3,3,0.865949273109436,3
PlackettLuceRPC,3,4,0.8770201802253723,3
PlackettLuceRPC,4,0,0.8811246752738953,4
PlackettLuceRPC,4,1,0.8737500905990601,4
PlackettLuceRPC,4,2,0.8806588053703308,4
PlackettLuceRPC,4,3,0.8672117590904236,4
PlackettLuceRPC,4,4,0.8777573108673096,4
PlackettLuceRPC,5,0,0.8839060664176941,5
PlackettLuceRPC,5,1,0.876375675201416,5
PlackettLuceRPC,5,2,0.8831855058670044,5
PlackettLuceRPC,5,3,0.8703864216804504,5
PlackettLuceRPC,5,4,0.87986159324646,5
PlackettLuceRPC,6,0,0.8893224000930786,6
PlackettLuceRPC,6,1,0.8816856741905212,6
PlackettLuceRPC,6,2,0.8881178498268127,6
PlackettLuceRPC,6,3,0.8762473464012146,6
PlackettLuceRPC,6,4,0.8840043544769287,6
PlackettLuceRPC,7,0,0.8981021046638489,7
PlackettLuceRPC,7,1,0.8902567625045776,7
PlackettLuceRPC,7,2,0.8959879279136658,7
PlackettLuceRPC,7,3,0.8851207494735718,7
PlackettLuceRPC,7,4,0.8907347321510315,7
PlackettLuceRPC,8,0,0.9102096557617188,8
PlackettLuceRPC,8,1,0.9017550349235535,8
PlackettLuceRPC,8,2,0.906624436378479,8
PlackettLuceRPC,8,3,0.896607518196106,8
PlackettLuceRPC,8,4,0.9001629948616028,8
PlackettLuceRPC,9,0,0.9242686033248901,9
PlackettLuceRPC,9,1,0.9145681262016296,9
PlackettLuceRPC,9,2,0.9187612533569336,9
PlackettLuceRPC,9,3,0.9096048474311829,9
PlackettLuceRPC,9,4,0.9115759134292603,9
PlackettLuceRPC,10,0,0.937951385974884,10
PlackettLuceRPC,10,1,0.9263904094696045,10
PlackettLuceRPC,10,2,0.9306803345680237,10
PlackettLuceRPC,10,3,0.9223035573959351,10
PlackettLuceRPC,10,4,0.9232696890830994,10
RPC,2,0,0.12696149945259094,2
RPC,2,1,0.1267428994178772,2
RPC,2,2,0.13601896166801453,2
RPC,2,3,0.11935412883758545,2
RPC,2,4,0.12182416766881943,2
RPC,3,0,-1.0,3
RPC,3,1,-1.0,3
RPC,3,2,-1.0,3
RPC,3,3,-1.0,3
RPC,3,4,-1.0,3
RPC,4,0,-1.0,4
RPC,4,1,-1.0,4
RPC,4,2,-1.0,4
