model,k,fold,ece,k_label
PlackettLuce,1,0,0.996525764465332,1
PlackettLuce,1,1,0.9967306852340698,1
PlackettLuce,1,2,0.9975540637969971,1
PlackettLuce,1,3,0.9980847239494324,1
PlackettLuce,1,4,0.9958882927894592,1
PlackettLuce,2,0,0.9965363144874573,2
PlackettLuce,2,1,0.9975919127464294,2
PlackettLuce,2,2,0.9975809454917908,2
PlackettLuce,2,3,0.9980972409248352,2
PlackettLuce,2,4,0.995953381061554,2
PlackettLuce,3,0,0.9965726733207703,3
PlackettLuce,3,1,0.9976083636283875,3
PlackettLuce,3,2,0.9976270198822021,3
PlackettLuce,3,3,0.9981155395507812,3
PlackettLuce,3,4,0.9960013031959534,3
PlackettLuce,4,0,0.99660325050354,4
PlackettLuce,4,1,0.9976499080657959,4
PlackettLuce,4,2,0.997631311416626,4
PlackettLuce,4,3,0.9982168674468994,4
PlackettLuce,4,4,0.9966242909431458,4
PlackettLuce,5,0,0.9966451525688171,5
PlackettLuce,5,1,0.9976931214332581,5
PlackettLuce,5,2,0.9977467060089111,5
PlackettLuce,5,3,0.9983981251716614,5
PlackettLuce,5,4,0.9970082640647888,5
PlackettLuce,6,0,0.9966450333595276,6
PlackettLuce,6,1,0.9977084398269653,6
PlackettLuce,6,2,0.997753918170929,6
PlackettLuce,6,3,0.9984274506568909,6
PlackettLuce,6,4,0.9970085024833679,6
PlackettLuce,7,0,0.9966504573822021,7
PlackettLuce,7,1,0.9977084398269653,7
PlackettLuce,7,2,0.9977537989616394,7
PlackettLuce,7,3,0.9984274506568909,7
PlackettLuce,7,4,0.9970084428787231,7
PlackettLuce,8,0,0.9966504573822021,8
PlackettLuce,8,1,0.9977084398269653,8
PlackettLuce,8,2,0.997753918170929,8
PlackettLuce,8,3,0.9984281659126282,8
PlackettLuce,8,4,0.9970085024833679,8
PlackettLuce,9,0,0.9966504573822021,9
PlackettLuce,9,1,0.9977084398269653,9
PlackettLuce,9,2,0.9977537989616394,9
PlackettLuce,9,3,0.9984281659126282,9
PlackettLuce,9,4,0.9970085024833679,9
PlackettLuce,10,0,0.9966504573822021,10
PlackettLuce,10,1,0.9977083206176758,10
PlackettLuce,10,2,0.9977538585662842,10
PlackettLuce,10,3,0.9984282851219177,10
PlackettLuce,10,4,0.9970084428787231,10
MallowsModel,1,0,0.9999936819076538,1
MallowsModel,1,1,0.9999879002571106,1
MallowsModel,1,2,0.9999935626983643,1
MallowsModel,1,3,0.9999879598617554,1
MallowsModel,1,4,0.9999926686286926,1
MallowsModel,2,0,0.9999936819076538,2
MallowsModel,2,1,0.9999878406524658,2
